aut_principal,pseudo,viaf,titulo,Lengua fuente,Lengua,ISBN,Ciudad de publicación,Ente editor,Año de publicación,Traductor/a,Observaciones
"Goethe, Johann Wolfgang",No hay datos,http://viaf.org/viaf/24602065,Fausto.,ger,Alemán,9974775381,Montevideo,Ediciones Cruz del Sur,2004,No hay datos,Difiere ISBN en BN y catálogo de la Biblioteca del Poder Legislativo. 
"Ibsen, Henrik",No hay datos,http://viaf.org/viaf/71378383,Casa de muñecas.,nor,Noruego,No hay datos,Montevideo,Editorial Técnica,2004,No hay datos,Se rectificó lengua fuente de alemán a noruego. 
"Kafka, Franz",No hay datos,http://viaf.org/viaf/56611857,La metamorfosis.,ger,Alemán,No hay datos,Montevideo,Editorial Técnica,2004,No hay datos,No hay datos
No hay datos,No hay datos,No hay datos,Teatro francés contemporáneo VI.,fre,Francés,9974323649,Montevideo,Trilce,2004,"Musto, Margarita",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo. 
"Ramos, Graciliano",No hay datos,http://viaf.org/viaf/66485924,Vidas secas.,por,Portugués,9974103266,Montevideo,Ediciones de Banda Oriental,2004,No hay datos,No hay datos
"Ribeiro, Tirzah",No hay datos,http://viaf.org/viaf/70314442,No hay datos.,por,Portugués,9974663725,Montevideo,Edições Pilar,2004,No hay datos,Es edición binacional. 
"Sullivan, Sally",No hay datos,http://viaf.org/viaf/3586392,"En busca del maestro : novela, finalmente.",eng,Inglés,9974771587,Montevideo,Caracol al Galope,2004,No hay datos,Se añadió lengua fuente (inglés). 
"Veramendi, Judy",No hay datos,http://viaf.org/viaf/1509645,Los cálices vacíos : vida y poesía de Delmira Agustini / versión en español de Serafín Veramendi.,eng,Inglés,974025623,No hay datos,Edición de autor,2004,"Veramendi, Serafín",Se añadió lengua fuente (inglés)./ Se añadió dato traductor. Fuente: BN campo Título.
"Wharton, Edith",No hay datos,http://viaf.org/viaf/17230986,El triunfo de la noche : y otros cuentos de fantasmas / prólogo de Jorge Albistur.,eng,Inglés,997410338X,Montevideo,Ediciones de Banda Oriental,2004,No hay datos,No hay datos
"Whitman, Walt",No hay datos,http://viaf.org/viaf/2478331,"Hojas de hierba : selección, prólogo y notas de Álvaro Miranda.",eng,Inglés,9974785456,Montevideo,Ediciones Cruz del Sur,2004,No hay datos,No hay datos
"Argañaraz, N. N.",No hay datos,No hay datos,Dante y sus precursores,ita,Italiano,No hay datos,Montevideo,O Dos,2004,No hay datos,Es manual de estudio.
"Vincent, Julie",No hay datos,http://viaf.org/viaf/4527151,El vestido de novia de Gisèle Schmidt : cuentos-teatro,fre,Francés,No hay datos,Montevideo,Trilce,2004,"Huertas, Marta",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo. 
"Balzac, Honoré de",No hay datos,http://viaf.org/viaf/29529595,Papá Goriot / Honoré de Balzac.,fre,Francés,9789974790568,Montevideo,Ediciones Cruz del Sur,2005,"Senda, Aureliano",Se añadió dato traductor. Fuente: BN campo Valor.
"Colette, Sidonie Gabrielle",No hay datos,http://viaf.org/viaf/68937443,Gigi : la dama del fotógrafo / prólogo de Roger Mirza.,fre,Francés,9974103940,Montevideo,Ediciones de Banda Oriental,2005,No hay datos,No hay datos
"Eca de Queiroz, José María",No hay datos,http://viaf.org/viaf/88719234,Civilización y otros cuentos.,por,Portugués,9974103746,Montevideo,Ediciones de Banda Oriental,2005,No hay datos,No hay datos
Esquilo,No hay datos,http://viaf.org/viaf/268526195,Agamenón / Esquilo.,gre,Griego,9974790530,Montevideo,Ediciones Cruz del Sur,2005,No hay datos,No hay datos
"Francelino, Jair",No hay datos,http://viaf.org/viaf/418150323649309970124,Versos & verdades.,por,Portugués,9974663946,Montevideo|Brasilia,Bianchi Editores|Edições Pilar,2005,No hay datos,Es edición binacional. 
"Kafka, Franz",No hay datos,http://viaf.org/viaf/56611857,La metamorfosis ; La muralla china.,ger,Alemán,9974785472,Montevideo,Ediciones Cruz del Sur,2005,No hay datos,No hay datos
"Kafka, Franz",No hay datos,http://viaf.org/viaf/56611857,Cuentos cortos / ilustraciones Marcel Vera Ciliani.,ger,Alemán,9974398568,Montevideo,Elipsis Comics,2005,No hay datos,No hay datos
No hay datos,No hay datos,No hay datos,Bhagavad Guita : armónico celestial.,san,Sánscrito,No hay datos,Montevideo,Instituto Patanjali,2005,No hay datos,Se añadió lengua fuente (sánscrito).
